question,answer,label
목적신탁  신탁으로서 대통령령으로 정하는 요건을 충족하는 신탁의 경우,신탁재산에 귀속되는 소득에 대하여 신탁계약에 따라 그 신탁의 수탁자[내국법인 또는 「소득세법」에 따른 거주자(이하 “거주자”라 한다)인 경우에 한정한다]가 법인세를 납부할 수 있다. 이 경우 신탁재산별로 각각을 하나의 내국법인으로 본다. ,법인세법
수익증권발행신탁  신탁으로서 대통령령으로 정하는 요건을 충족하는 신탁의 경우,신탁재산에 귀속되는 소득에 대하여 신탁계약에 따라 그 신탁의 수탁자[내국법인 또는 「소득세법」에 따른 거주자(이하 “거주자”라 한다)인 경우에 한정한다]가 법인세를 납부할 수 있다. 이 경우 신탁재산별로 각각을 하나의 내국법인으로 본다. ,법인세법
유한책임신탁  신탁으로서 대통령령으로 정하는 요건을 충족하는 신탁의 경우,신탁재산에 귀속되는 소득에 대하여 신탁계약에 따라 그 신탁의 수탁자[내국법인 또는 「소득세법」에 따른 거주자(이하 “거주자”라 한다)인 경우에 한정한다]가 법인세를 납부할 수 있다. 이 경우 신탁재산별로 각각을 하나의 내국법인으로 본다. ,법인세법
신탁과 유사한 신탁으로서 대통령령으로 정하는 요건을 충족하는 신탁의 경우,신탁재산에 귀속되는 소득에 대하여 신탁계약에 따라 그 신탁의 수탁자[내국법인 또는 「소득세법」에 따른 거주자(이하 “거주자”라 한다)인 경우에 한정한다]가 법인세를 납부할 수 있다. 이 경우 신탁재산별로 각각을 하나의 내국법인으로 본다. ,법인세법
청산 중인 내국법인의 사업연도는  그 사업연도 개시일부터 계속등기일 계속등기를 하지 아니한 경우,사실상의 사업 계속일을 말한다. 이하 같다)까지의 기간  구분에 따른 기간을 각각 1사업연도로 본다. ,법인세법
내국법인이  감가상각자산을 취득하기 위하여 지출한 금액  금액을 손비로 계상한 경우,해당 사업연도의 소득금액을 계산할 때 감가상각비로 계상한 것으로 보아 상각범위액을 계산한다. ,법인세법
내국법인이  감가상각자산에 대한 대통령령으로 정하는 자본적 지출에 해당하는 금액  금액을 손비로 계상한 경우,해당 사업연도의 소득금액을 계산할 때 감가상각비로 계상한 것으로 보아 상각범위액을 계산한다. ,법인세법
업무용승용차별 감가상각비  구분에 해당하는 비용이 해당 사업연도가 1년 미만인 경우,800만원에 해당 보유기간 또는 임차기간 월수를 곱하고 이를 사업연도 월수로 나누어 산출한 금액을 말한다)을 초과하는 경우 그 초과하는 금액(이하 이 조에서 “감가상각비 한도초과액”이라 한다)은 해당 사업연도의 손금에 산입하지 아니하고 대통령령으로 정하는 방법에 따라 이월하여 손금에 산입한다. ,법인세법
"업무용승용차별 임차료 중 대통령령으로 정하는 감가상각비 상당액  구분에 해당하는 비용이 해당 사업연도에 각각 800만원을 말하고, 사업연도 중 일부 기간 동안 보유하거나 임차한 경우",800만원에 해당 보유기간 또는 임차기간 월수를 곱하고 이를 사업연도 월수로 나누어 산출한 금액을 말한다)을 초과하는 경우 그 초과하는 금액(이하 이 조에서 “감가상각비 한도초과액”이라 한다)은 해당 사업연도의 손금에 산입하지 아니하고 대통령령으로 정하는 방법에 따라 이월하여 손금에 산입한다. ,법인세법
다른 법인과 합병하는 것을 유일한 목적으로 하는 법인으로서 대통령령으로 정하는 요건을 모두 갖춘 합병(이하 “적격합병”이라 한다)의 경우,"가액을 피합병법인의 합병등기일 현재의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다. 다만, 대통령령으로 정하는 부득이한 사유가 있는",법인세법
